Week,popIndex
7/19/2015,0
7/26/2015,1
8/2/2015,1
8/9/2015,2
8/16/2015,1
8/23/2015,1
8/30/2015,1
9/6/2015,1
9/13/2015,1
9/20/2015,1
9/27/2015,1
10/4/2015,0
10/11/2015,1
10/18/2015,1
10/25/2015,1
11/1/2015,1
11/8/2015,1
11/15/2015,1
11/22/2015,1
11/29/2015,1
12/6/2015,1
12/13/2015,1
12/20/2015,1
12/27/2015,1
1/3/2016,1
1/10/2016,1
1/17/2016,1
1/24/2016,2
1/31/2016,2
2/7/2016,4
2/14/2016,3
2/21/2016,3
2/28/2016,5
3/6/2016,5
3/13/2016,6
3/20/2016,5
3/27/2016,5
4/3/2016,4
4/10/2016,4
4/17/2016,3
4/24/2016,3
5/1/2016,4
5/8/2016,4
5/15/2016,6
5/22/2016,6
5/29/2016,6
6/5/2016,5
6/12/2016,10
6/19/2016,9
6/26/2016,6
7/3/2016,5
7/10/2016,4
7/17/2016,6
7/24/2016,7
7/31/2016,6
8/7/2016,4
8/14/2016,3
8/21/2016,3
8/28/2016,3
9/4/2016,3
9/11/2016,3
9/18/2016,4
9/25/2016,4
10/2/2016,4
10/9/2016,4
10/16/2016,4
10/23/2016,3
10/30/2016,3
11/6/2016,3
11/13/2016,3
11/20/2016,3
11/27/2016,3
12/4/2016,3
12/11/2016,3
12/18/2016,3
12/25/2016,3
1/1/2017,5
1/8/2017,4
1/15/2017,3
1/22/2017,3
1/29/2017,3
2/5/2017,3
2/12/2017,4
2/19/2017,4
2/26/2017,9
3/5/2017,7
3/12/2017,17
3/19/2017,14
3/26/2017,11
4/2/2017,10
4/9/2017,9
4/16/2017,9
4/23/2017,13
4/30/2017,24
5/7/2017,19
5/14/2017,21
5/21/2017,67
5/28/2017,53
6/4/2017,61
6/11/2017,100
6/18/2017,77
6/25/2017,73
7/2/2017,46
7/9/2017,56
7/16/2017,53
7/23/2017,37
7/30/2017,35
8/6/2017,42
8/13/2017,42
8/20/2017,38
8/27/2017,46
9/3/2017,42
9/10/2017,37
9/17/2017,31
9/24/2017,26
10/1/2017,24
10/8/2017,33
10/15/2017,38
10/22/2017,31
10/29/2017,39
11/5/2017,43
